Address,Account #,Account Name,Title Owner Account #,Physical Loc Site #,Lat ,Lon
"4781 BROADWAY, New York, NY 10034",2034931,BROADWAY PRACTICE,2034931,3018765,,
"55 5TH AVE, New York, NY 10003",203544,MEMORIAL SLOAN KETTERING CANCER CENTER,296042,541695,,
"1 GUSTAVE L LEVY PLACE, New York, NY 10029",203566,MOUNT SINAI HOSPITAL,145729,901584,,
"5141 BROADWAY, New York, NY 10034",203606,PRESBYTERIAN HOSPITAL,343010,535256,,
"137 E 36TH ST, New York, NY 10016",2036518,PL CHANG MD PC,2036518,3041294,,
"301 E 17TH ST, New York, NY 10003",203688,HOSPITAL FOR JOINT DISEASES,203688,535241,,
"18TH ST AND SECOND AVE, New York, NY 10003",203688,HOSPITAL FOR JOINT DISEASES,203688,1557532,,
"911 PARK AVE, New York, NY 10075",2037086,MANHATTAN FAMILY PRACTICE,2037086,3048929,,
"420 E 76TH ST, New York, NY 10021",203759,GRACIE SQUARE HOSPITAL,203759,534330,,
"1230 YORK AVENUE, New York, NY 10021",203783,ROCKEFELLER UNIVERSITY HOSPITAL,203783,535265,,
"227 MADISON ST, New York, NY 10002",203789,GOUVERNEUR HOSPITAL,203789,562922,,
"4 COLUMBUS CIR FL 4, New York, NY 10019",2038090,ZHANG MEDICAL PC,2038090,3040300,,
"4334 BROADWAY, New York, NY 10033",2062408,WASHINGTON HEIGHTS IMAGING,2062408,3059898,,
"5 E 98TH ST FL 2, New York, NY 10029",2063820,ICAHN SCHOOL OF MEDICIINE AT MOUNT SINAI,1018587,3069219,,
"245 E 84TH ST, New York, NY 10028",2065566,LENOX HILL RADIOLOGY,306314,3078278,,
"644 W 168TH ST, New York, NY 10032",2065844,NEW YORK PRESBYTERIAN HOSPITAL,2065844,3080257,,
"413 E 69TH ST, New York, NY 10021",2066434,WEILL CORNELL MEDICAL COLLEGE,147226,3084856,,
"435 E 67TH ST, New York, NY 10065",2066899,MEMORIAL SLOAN KETTERING HOSPITAL SHIPPING & RECEIVING,1727201,3087262,,
"196 CANAL ST 4TH FLR, New York, NY 10013",2067592,EASTERN NEUROLOGIC SERVICES PC,306986,3090929,,
"1250 1ST AVE, New York, NY 10065",2068853,MEMORIAL SLOAN KETTERING CANCER CENTER,2068853,3096098,,
"116 CENTRAL PARK S STE 7, New York, NY 10019",2069330,DELE MICHAEL CARDIOVASCULAR MEDICINE,906278,3102278,,
"20 E 46TH ST, New York, NY 10017",2069972,FRANCESCO ROTATORI MD,2069972,3101357,,
"147 E 26TH ST, New York, NY 10010",2071302,MOUNT SINAI BETH ISRAEL,296045,3108597,,
"115 E 57TH ST STE 1240, New York, NY 10022",2072157,LASZLO RETSAGI MD,147143,3113123,,
"215 E 95TH ST, New York, NY 10128",2072300,ADVANTAGE CARE PHYSICIANS,306314,3114101,,
"530 E 70TH ST, New York, NY 10021",2073603,WEILL CORNELL MEDICAL COLLEGE,1-1NFW5,3139215,,
"45 E END AVE, New York, NY 10028",2073861,NORMAN M MAGID MD,146718,3125498,,
"110 E 40TH ST RM 801, New York, NY 10016",2074065,ROSH MATERNAL FETAL MEDICINE,2074065,3139896,,
"160 WATER ST FL 3, New York, NY 10038",2074474,METROPLUS HEALTH PLAN,2074474,3127673,,
"40 PARK AVE, New York, NY 10016",2079203,MARIA TULPAN MD,2079203,3149251,,
"352 7TH AVE RM 1003, New York, NY 10001",2082349,HILLEL Y MARANS MD,2082349,3201218,,
"75 8TH AVE, New York, NY 10014",2083767,WEST VILLAGE VETERINARY HOSPITAL,1744253,3171391,,
"650 1ST AVE FL 7, New York, NY 10016",2084560,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,698214,4452614,,
"4290 BROADWAY STE 2S, New York, NY 10033",2087561,FELDMAN MEDICAL PC,1-1NFW5,3194316,,
"425 5TH AVE RM 602, New York, NY 10016",2087731,INTEGRAMED MEDICAL PLLC,2087731,3221613,,
"3867 BROADWAY, New York, NY 10032",2088459,CARDIOLOGY A2Z PLLC,2088459,3199870,,
"433 1ST AVE, New York, NY 10010",2088865,NEW YORK UNIVERSITY,2078830,3234813,,
"428 E 72ND ST STE 200, New York, NY 10021",2090203,WEILL CORNELL OB GYN FACULTY PRACTICE,147226,3212356,,
"1041 3RD AVE, New York, NY 10065",2090313,DAVID FOX MD,2090313,3213315,,
"425 E 61ST ST FL 12, New York, NY 10065",2091151,IRIS CANTOR MENS HEALTH CENTER,296043,3218876,,
"275 7TH AVE FL 2, New York, NY 10001",2092957,ANASTASIOS MANESSIS MD,2092957,3230323,,
"233 BROADWAY STE 2750, New York, NY 10279",2106404,HJLM MEDICAL ASSOCIATES PC,2106404,3238091,,
"1841 BROADWAY, New York, NY 10023",2106688,ALL WOMENS MEDICAL OFFICE BASED SURGERY PLLC,2106688,3242660,,
"110 E 40TH ST RM 800, New York, NY 10016",2108108,KHOURY MEDICAL CARE PC,2108108,3247012,,
"103 E 75TH ST, New York, NY 10021",2108848,SHIRA B EYTAN MD,2108848,3260054,,
"128 MOTT ST STE 608, New York, NY 10013",2111001,JAMES LI MD PLLC,2111001,3264558,,
"1090 AMSTERDAM AVE, New York, NY 10025",2115749,MORNINGSIDE RADIOLOGY,306314,3290946,,
"306 E 59TH ST, New York, NY 10022",2116257,HUMANE SOCIETY OF NEW YORK,2116257,4667934,,
"215 E 85TH ST, New York, NY 10028",2116641,WEILL CORNELL MEDICAL ASSOCIATES,1712055,3297658,,
"7 PENN PLZ STE 618, New York, NY 10001",2122972,2001 MARCUS AVENUE LLC,1040493,3319731,,
"428 E 72ND ST STE 100, New York, NY 10021",2124319,NEW YORK PRESBYTERIAN ENT,296043,3329331,,
"234 E 85TH ST FL 3, New York, NY 10028",2652267,MOUNT SINAI DOCTORS,1018587,4260000,,
"145 E 32ND ST STE 303, New York, NY 10016",2662589,COMPREHENSIVE PAIN & WELLNESS CENTER,2662589,4246513,,
"220 E 69TH ST, New York, NY 10021",2666337,LENOX HILL OB GYN,1017979,4267488,,
"810 7TH AVE FL 21, New York, NY 10019",2667164,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,1-1NFW5,4270198,,
"20 E 46TH ST STE 202, New York, NY 10017",2667228,NEENA AGARWALA MD PC,2667228,4271241,,
"281 BROADWAY, New York, NY 10007",2668238,HUDSON SPINE & PAIN MEDICINE PC,306314,4352833,,
"800A 5TH AVE STE 206, New York, NY 10065",2670367,MANHATTAN CARDIOVASCULAR CARE,2670367,4277438,,
"335 1ST AVE, New York, NY 10003",2670888,WHOLE HEALTH VETERINARY HOSPITAL & DENTAL CLINIC,2670888,4277442,,
"257 W 18TH ST, New York, NY 10011",2677225,HEART OF CHELSEA ANIMAL HOSPITAL,2677225,4290416,,
"5041 BROADWAY FL 2, New York, NY 10034",2677771,MEDALLIANCE MEDICAL HEALTH SERVICES,1157433,4290671,,
"635 MADISON AVE, New York, NY 10022",268147,NEW YORK PHYSICIANS PC,268147,532654,,
"590 5TH AVE, New York, NY 10036",2690056,COLUMBIA DOCTORS,916025,4297319,,
"115 E 57TH ST STE 420, New York, NY 10022",2692128,GLOBAL FERTILITY & GENETICS INC,2692128,4301737,,
"565 MANHATTAN AVE, New York, NY 10027",2693999,RYAN ADAIR COMMUNITY HEALTH CENTER,306314,4305982,,
"853 BROADWAY STE 1516, New York, NY 10003",269900,AMERICAN HEALTHCARE TECH,269900,534406,,
"115 E 57TH ST, New York, NY 10022",2706250,PHYSCIAN HEALTH & WELLNESS,2706250,4328359,,
"70 E 55TH ST, New York, NY 10022",2708683,PERFORMANCE HEALTH,2708683,4332822,,
"200 W 57TH ST STE 1101, New York, NY 10019",2709284,JOSHUA U KLEIN MD PC,2121342,4329638,,
"110 E 59TH ST STE 8B, New York, NY 10022",2711150,LEONID PORETSKY MD,2711150,4332313,,
"215 E 68TH ST, New York, NY 10065",2711353,WEILL CORNELL MEDICAL ASSOCIATES,2711353,4341256,,
"115 E 57TH ST STE 510, New York, NY 10022",2714050,ELLEN MELLOW MD,1426537,4338922,,
"16 PARK PL, New York, NY 10007",2715243,HIGHLINE ORTHOPAEDICS PLLC,306314,5325513,,
"150 E 32ND ST STE 101, New York, NY 10016",2715567,NYU SCHOOL OF MEDICINE,1802866,4341729,,
"568 BROADWAY STE 304, New York, NY 10012",2717819,DOWNTOWN WOMEN OB GYN ASSOCIATES LLP,2717819,4343851,,
"3 E 69TH ST APT 1A, New York, NY 10021",2728257,GREGORY SHIFRIN OB GYN PC,409033,4375638,,
"110 E 59TH ST STE 10D, New York, NY 10022",2731162,NORTHWELL HEALTH PHYSICIAN PARTNERS FERTILITY AT LENOX HILL,1017979,4396513,,
"430 W BROADWAY FL 2, New York, NY 10012",2732100,SOHO GYNECOLOGY,2732100,4376437,,
"104 HAVEN AVE, New York, NY 10032",2735652,COLUMBIA UNIVERSITY,146642,4381266,,
"352 7TH AVE STE 805, New York, NY 10001",2739336,GRAMERCY GYNECOLOGY PC,2739336,4401650,,
"15 E 40TH ST STE 101, New York, NY 10016",2741327,SAINT PETERS PHYSICIAN ASSOCIATES,296047,4393074,,
"225 BROADWAY STE 901, New York, NY 10007",2745053,JOHN WIRTH MD,409033,4420045,,
"120 E 65TH ST, New York, NY 10065",2745062,NANCY LEBOWITZ MD,409033,4412351,,
"1707 3RD AVE, New York, NY 10128",2748681,CARNEGIE HILL VETERINARIANS,2748681,4411303,,
"30 E 60TH ST STE 808, New York, NY 10022",2751216,ELENA MARIA BURUIANA MD FACOG,409033,4425822,,
"1233 2ND AVE, New York, NY 10065",2752522,HSS ASC OF MANHATTAN LLC,1111603,4477247,,
"440 W 114TH ST, New York, NY 10025",2753613,MOUNT SINAI ST LUKES,343187,4441773,,
"20 E 46TH ST STE 403, New York, NY 10017",2757899,SUZANNE I PASTORE MD,296045,4435679,,
"53 BEEKMAN ST, New York, NY 10038",2758455,WEILL CORNELL MEDICAL IMAGING,1-1NFW5,4435862,,
"1283 YORK AVE, New York, NY 10065",2758687,NEW YORK PRESBYTERIAN DAVID H KOCH CENTER,1-1NFW5,4436018,,
"12 E 97TH STE 1C, New York, NY 10029",2758924,HUA CHEN MD,1705295,4436910,,
"4120 BROADWAY, New York, NY 10033",2767768,MID ROCKLAND IMAGING PARTNERS INC,409033,4461331,,
"200 W 57TH ST STE 1300, New York, NY 10019",2772515,MOUNT SINAI WEST OB GYN,2772515,4471823,,
"369 LEXINGTON AVE STE 18A, New York, NY 10017",2774452,RONALD LEV MD,2774452,4476724,,
"530 E 74TH ST, New York, NY 10021",2774761,MEMORIAL SLOAN KETTERING DAVID H KOCH CENTER FOR CANCER CARE,1727201,4478362,,
"1264 SAINT NICHOLAS AVE, New York, NY 10033",2775200,USA VEIN CLINICS,2060544,5601694,,
"55 E 34TH ST, New York, NY 10016",2780873,MOUNT SINAI BETH ISRAEL MEDICAL GROUP,296045,4488162,,
"115 E 57TH ST STE 500, New York, NY 10022",2785279,GENERATION NEXT FERTILITY PLLC,409033,4508319,,
"10 NATHAN D PERLMAN PL, New York, NY 10003",2788589,MOUNT SINAI BETH ISRAEL,296045,4508223,,
"403 E 34TH ST, New York, NY 10016",2800024,DIVISION OF ENVIRONMENTAL PEDIATRICS,1802866,4559515,,
"424 E 89TH ST, New York, NY 10128",2800332,EAST RIVER MEDICAL IMAGING PC,293306,4531010,,
"1625 3RD AVE STE LL, New York, NY 10128",2801767,MANHATTAN FERTILITY SERVICES,409033,4537526,,
"261 5TH AVE STE 901, New York, NY 10016",2815143,ENT & ALLERGY ASSOCIATES LLP,1129619,4599596,,
"10 UNION SQ E, New York, NY 10003",2823479,INSTITUTE FOR HEAD NECK & THYROID CANCER,2079213,4652685,,
"215 E 68TH ST STE 7, New York, NY 10065",2831527,WEILL CORNELL MEDICINE CENTER OF REPRODUCTIVE MEDICINE,409033,4704980,,
"255 GREENWICH ST, New York, NY 10007",2831528,WEILL CORNELL MEDICINE CENTER OF REPRODUCTIVE MEDICINE,1727390,4704982,,
"60 W 68TH ST STE 1A, New York, NY 10023",2846305,GILA AARON MD PC,409033,4824516,,
"146 W 29TH ST STE 12E, New York, NY 10001",2847366,YANTRA ENDOCRINOLOGY WELLNESS PC,409033,5073573,,
"7 7TH AVE, New York, NY 10011",2872241,NORTHWELL HEALTH,1017979,5388621,,
"111 BROADWAY RM 1405, New York, NY 10006",2880909,KHOURY MEDICAL CARE PC,2108108,5459559,,
"157 E 81ST ST, New York, NY 10028",2882870,POYNOR HEALTH,409033,5506629,,
"1153 1ST AVE, New York, NY 10065",2889782,USA VEIN CLINICS,1937529,5617535,,
"1990A LEXINGTON AVE, New York, NY 10035",2891070,STARRETT PODIATRY,2891070,5506315,,
"485 MADISON AVE, New York, NY 10022",2893604,ADAM B COHEN MD,2893604,5593564,,
"226 W 14TH ST, New York, NY 10011",2898036,MOUNT SINAI DOCTORS,296045,5589225,,
"210 E 73RD ST, New York, NY 10021",2898084,NORTHWELL PHYSICIAN GROUP,146770,5586554,,
"330 W 58TH ST STE 414, New York, NY 10019",2899345,BODHI MEDICAL GROUP MANHATTAN MIDTOWN,2899344,5601576,,
"202 E 70TH ST, New York, NY 10021",290012,REGENCY MRI PC,290012,892940,,
"212 CANAL ST, New York, NY 10013",290157,CANAL RADIOLOGY ASSOCIATES,290157,436100,,
"1 E 82ND ST, New York, NY 10028",290424,NEW YORK MEDICAL IMAGING ASSOCIATES PC,290424,436991,,
"165 E 84TH ST FL 6, New York, NY 10028",290424,NEW YORK MEDICAL IMAGING ASSOCIATES PC,290424,436994,,
"61 E 77TH ST, New York, NY 10075",291040,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,291040,438925,,
"150 E 61ST ST, New York, NY 10065",291494,EAST SIDE CARDIAC IMAGING,291494,440386,,
"184 E 70TH ST STE B1, New York, NY 10021",291582,EAST SIDE MED & CARDIOVASCULAR,291582,440668,,
"201 E 19TH ST, New York, NY 10003",292040,GRAMERCY RADIOLOGY GROUP PC,292040,442678,,
"345 E 37TH ST RM 311, New York, NY 10016",292983,CORINTHIAN OB GYN PC,1702719,445874,,
"523 EAST 72ND STREET, New York, NY 10021",293306,EAST RIVER MEDICAL IMAGING PC,1720547,447002,,
"519 E 72ND ST STE 103, New York, NY 10021",293306,EAST RIVER MEDICAL IMAGING PC,1720547,640836,,
"1051 RIVERSIDE DR, New York, NY 10032",294030,NEW YORK STATE PSYCH INSTITUTE,294030,450319,,
"1185 PARK AVE, New York, NY 10128",295792,REICHSTEIN MD,295792,457376,,
"525 E 68TH ST, New York, NY 10065",295979,WEILL CORNEL MEDICAL COLLEGE,1237797,458010,,
"1901 1ST AVE, New York, NY 10029",296032,METROPOLITAN HOSPITAL CENTER,1115722,458215,,
"170 E END AVE, New York, NY 10128",296035,BETH ISRAEL MEDICAL CENTER S,296045,458240,,
"310 E 14TH ST, New York, NY 10003",296038,NEW YORK EYE & EAR INFIRMARY,296038,458257,,
"423 E 23RD ST, New York, NY 10010",296040,VA NY HARBOR HEALTHCARE SYSTEM MANHATTAN CAMPUS,131626,458267,,
"423 EAST 23RD STREET, New York, NY 10010",296040,VA NY HARBOR HEALTHCARE SYSTEM MANHATTAN CAMPUS,2665224,458266,,
"153 W 11TH ST, New York, NY 10011",296041,ST VINCENTS HOSPITAL,296041,1262087,,
"1275 YORK AVE, New York, NY 10065",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,458277,,
"411 E 67TH ST, New York, NY 10065",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,458281,,
"411 E 67TH ST, New York, NY 10021",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,1286026,,
"15TH ST 1ST AVE AND 2ND AVE, New York, NY 10003",296045,MOUNT SINAI BETH ISRAEL,1018587,1711701,,
"7 IRVING PL, New York, NY 10003",296045,MOUNT SINAI BETH ISRAEL,296045,835832,,
"342 E 49TH ST, New York, NY 10017",297001,BEEKMAN RADIOLOGY PLLC,297001,462080,,
"133 E 58TH ST, New York, NY 10022",297139,PAYNE DAVID R MD,297139,462480,,
"55 E 124TH ST, New York, NY 10035",297589,FOOT CLINICS OF NEW YORK,297589,463805,,
"420 E 72ND ST, New York, NY 10021",297864,ORTHOPEDIC SURGERY SPECIA,297864,464607,,
"4588 BROADWAY, New York, NY 10040",297869,REGIONAL RADIOLOGY,297869,464639,,
"5 CHATHAM SQ, New York, NY 10038",297879,CHATHAM SQUARE MGT INC,297879,464651,,
"62 E 88TH ST STE 201, New York, NY 10128",297880,LIFE STEPS OBGYN,297880,464654,,
"109 LAFAYETTE ST RM 701, New York, NY 10013",297882,CHIANG EUGENE MD,297882,464660,,
"145 E 32ND STREET SUITE 303, New York, NY 10016",297996,MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,1157433,464990,,
"171 E END AVE, New York, NY 10128",298403,SCOTT NORMAN MD,298403,466194,,
"201 E 65TH ST, New York, NY 10065",298512,YAFFE RUDEN & ASSOCIATES LLP,298512,466516,,
"16 E 90TH ST STE 1B, New York, NY 10128",298515,YARBERRY ALLEN DR PATRI,298515,466525,,
"310 E 72ND ST, New York, NY 10021",298520,SEVENTY SECOND ST MEDICAL ASSOCIATES,298520,466540,,
"141 E 63RD ST, New York, NY 10065",298521,FREIMAN JA MD,298521,466543,,
"333 E 57TH ST, New York, NY 10022",298523,CENTER FOR INTERGRATIVE MED,298523,466549,,
"263 W END AVE, New York, NY 10023",298524,DR MAURICE SZTEINBOK,298524,466552,,
"48 E 81ST ST, New York, NY 10028",298526,OSHERANNETTE MD,298526,466559,,
"520 EAST 72ND ST, New York, NY 10021",298527,BARRY KLYDE MD,1-1WCVQSZB,466557,,
"20 W 13TH ST, New York, NY 10011",298531,PFLUM FRANCIS MD,298531,466572,,
"210 CANAL ST RM 203, New York, NY 10013",298532,CHE BI HOON MD,298532,466575,,
"20 PARK AVE, New York, NY 10016",298534,AST FREDERICK MD,298534,466581,,
"79 E 79TH ST, New York, NY 10075",298535,GRUENSPAN HARRY MD,298535,466584,,
"12 W 72ND ST, New York, NY 10023",299980,WEILL CORNELL MEDICAL ASSOCIATES,147226,470861,,
"41 MOTT ST FL 2, New York, NY 10013",300398,EDWARD V CHAN MD,300398,472100,,
"345 E 37TH ST RM 305, New York, NY 10016",301887,MADISON BREAST IMAGING,301887,476601,,
"635 MADISON AVE FL 16TH, New York, NY 10022",301892,MEDICAL IMAGING OF MANHATTAN LLC,306314,476620,,
"75 PARK PL, New York, NY 10007",302162,MAXWELL PARTNERS LLC,302162,477440,,
"159 E 74TH ST, New York, NY 10021",302692,HANNA JESIONOWSKA MD,302692,479046,,
"325 WEST 15TH ST, New York, NY 10011",302755,BETH ISRAEL COMPREHENSIVE CANCER CENTER,296045,479232,,
"59 E 54TH ST RM 63, New York, NY 10022",303333,RAUFA FAROQUI MD PC,303333,481001,,
"50 E 77TH ST, New York, NY 10075",303757,AMALIA C KELLY & CRISTINA MATERA-ABOUZAHR PHYSICIANS PA,303757,482266,,
"120 E 34TH ST, New York, NY 10016",304423,MIDTOWN UROLOGICAL ASSOCIATES,304423,484220,,
"1317 3RD AVE FL 4, New York, NY 10021",304724,MIRIAM LEVY-RAVITCH MD,301892,485147,,
"425 E 68TH ST, New York, NY 10065",304751,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,485234,,
"1107 5TH AVE, New York, NY 10128",304913,J VICTOR REYNIAK MD PC,304913,485733,,
"604 2ND AVE, New York, NY 10016",304991,KINGS HWY RAD MGT LLC CO DOVE HEALTHCARE MGT INC,304991,1092349,,
"38-44 EAST 30TH ST, New York, NY 10016",306587,MID-MANHATTAN PHYSICIAN,306587,490745,,
"315 W 57TH ST, New York, NY 10019",306761,LILLIAN D NASH MD,306761,491265,,
"55 E 9TH ST, New York, NY 10003",307863,UROLOGICAL ASSOC,307863,494568,,
"25 CENTRAL PARK W, New York, NY 10023",309540,CYRUS A ASSADI MD PC,309540,499618,,
"345 E 37TH ST RM 204, New York, NY 10016",309846,CORINTHIAN DIAG RADIOLOGY,309846,500524,,
"944 PARK AVE, New York, NY 10028",311967,ALLIED MEDICAL MANAGEMENT CORP,311967,506809,,
"101 AVENUE OF THE AMERICAS, New York, NY 10013",312945,LOCAL 32 BJ HEALTH CENTER,312945,509787,,
"768 PARK AVE, New York, NY 10021",315352,ADAM ROMOFF & SUZANNE YALE MDS,315352,516847,,
"333 E 30TH ST, New York, NY 10016",315355,KIPS BAY MEDICAL SERVICES INC,315355,516856,,
"68 BAYARD ST, New York, NY 10013",315365,ROLAND NYEIN MD PC,315365,516883,,
"1435 BROADWAY FL 4, New York, NY 10018",315388,LOCAL 400 MEMORIAL CLINIC,315388,516950,,
"1126 PARK AVE, New York, NY 10128",315404,JONATHAN SCHER MD LLC,315404,517001,,
"159 E 69TH ST, New York, NY 10021",315408,JONATHAN A KORN MD &,315408,517013,,
"157 E 72ND ST, New York, NY 10021",315461,ROBERT W DILLON MD,315461,517170,,
"945 FIFTH AVENUE, New York, NY 10021",315506,ROSENBAUM SILVERSTONE &,315506,517314,,
"150 PARK ROW, New York, NY 10007",315507,METROPOLITAN CORRECTIONAL CTR,315507,517313,,
"114 E 90TH ST, New York, NY 10128",316152,LEONARD BIEL JR MD,316152,520147,,
"21 E 90TH ST, New York, NY 10128",316195,JAY BAUMAN  MD,316195,1590881,,
"416 E 55TH ST, New York, NY 10022",316677,MRSI MANAGEMENT INC,316677,521807,,
"1 POLICE PLAZA - ROOM 1016, New York, NY 10038",318042,NYC POLICE HEADQUARTERS,318042,568881,,
"1140 YORK AVE OFC P1, New York, NY 10065",318043,CLEMENT M BARONE MD PC,318043,568882,,
"1160 PARK AVE, New York, NY 10128",318044,JAFFIN MOSS CHERRY MD PC,146362,568890,,
"1045 PARK AVE, New York, NY 10028",318047,BARBARA EDELSTEIN MD,318047,568896,,
"875 PARK AVE, New York, NY 10075",318054,WAYNE DECKER MD,318054,568923,,
"510 E 62ND ST, New York, NY 10065",318063,ANIMAL MEDICAL CENTER,318063,568954,,
"125 E 72ND ST, New York, NY 10021",318072,ISADORE ROSENFELD M D,318072,568982,,
"260 E 67TH ST, New York, NY 10065",318073,RENEE SOLOW MD,318073,568987,,
"338 E 30 ST, New York, NY 10016",318074,CHARLES H DEBROVNER MD PC,318074,568989,,
"55 EAST 34TH STREET, New York, NY 10016",318075,PREVENTIVE MEDICINE INSTITUTE,318075,568991,,
"550 1ST AVE, New York, NY 10016",318083,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,1684240,1586370,,
"660 1ST AVE, New York, NY 10016",318083,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,1684240,2241713,,
"31ST & E RIVER DR 6FL RM 6F, New York, NY 10016",318083,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,1802866,1776928,,
"535 E 70TH ST, New York, NY 10021",319222,HOSPITAL FOR SPECIAL SURGERY,319222,572530,,
"622 W 168TH ST-PH1630, New York, NY 10032",343010,TRUSTEES OF COLUMBIA UNIVERSITY,916025,643348,,
"1111 AMSTERDAM AVE, New York, NY 10025",343187,MOUNT SINAI ST LUKES,145910,643706,,
"114TH ST & AMSTERDAM AVE, New York, NY 10025",343187,MOUNT SINAI ST LUKES,145910,1943053,,
"115TH ST & AMSTERDAM AVE, New York, NY 10025",343187,MOUNT SINAI ST LUKES,157162,1943055,,
"425 E 61ST ST FL 6, New York, NY 10065",343302,NEW YORK CARDIOLOGY ASSOCIATES PC,343302,2003632,,
"222 E 68TH ST, New York, NY 10065",343345,LICHY & KOLB MDS,343345,644125,,
"133 E 58TH ST STE 301, New York, NY 10022",345033,JAMES A BLAKE MD,345033,1773164,,
"133 E 58TH STE STE 301, New York, NY 10022",345033,JAMES A BLAKE MD,345033,648935,,
"134 E 93RD ST, New York, NY 10128",405278,EASTSIDE WOMENS OB GYN,405278,712582,,
"1015 MADISON AVE RM 302, New York, NY 10075",414753,REGINALD PUCKETT MD,414753,715316,,
"425 E 61 ST, New York, NY 10021",434337,NEW YORK PRESBYTERIAN WEILL CORNELL MEDICAL CENTER,296043,725498,,
"241 E 86TH ST APT 2D, New York, NY 10128",438844,MOUNT SINAI ASSOCIATES IN INTERNAL MEDICINE,438844,1685990,,
"315 W 57TH ST STE LL4, New York, NY 10019",460846,PARK WEST RADIOLOGY,306314,1598995,,
"19 BEEKMAN ST FL 3, New York, NY 10038",465695,SEAPORT ORTHOPAEDIC ASSOCIATES,465695,1779229,,
"304 PARK AVE S FL 6, New York, NY 10010",473669,PATH MEDICAL PC,473669,1731737,,
"205 E 64TH ST, New York, NY 10065",479400,MEMORIAL SLOAN KETTERING IRIS CANTOR DIAGNOSTIC CENTER,306314,1079637,,
"525 PARK AVE, New York, NY 10021",479824,PARK AVENUE RADIOLOGISTS,306314,5325515,,
"400 E 34TH ST, New York, NY 10016",483015,RUSK INSTITUTE OF REHABILITATION MEDICINE,483015,783254,,
"160 E 53RD ST, New York, NY 10022",523436,MEMORIAL SLOAN KETTERING CANCER CENTER ROCKERFELLER OUTPATIENT PAVILION,1727201,805493,,
"160 7TH AVE S, New York, NY 10014",528195,GATTEREAU & EDWARDS MD PC,528195,807410,,
"461 PARK AVE S, New York, NY 10016",532983,ELM UROLOGY ASSOCIATES PC,532983,809388,,
"1300 YORK AVE, New York, NY 10065",545285,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,147226,1584881,,
"520 1ST AVE, New York, NY 10016",546405,NEW YORK MED EXAMINERS OFFICE,546405,816652,,
"62 CROSBY ST, New York, NY 10012",607378,RICHARD M WIND MD,607378,844922,,
"516 E 72ND ST, New York, NY 10021",609220,CITIGROUP BIOMEDICAL IMAGING CENTER AT WEILL CORNELL MEDICAL COLLEGE,409033,845707,,
"16 EAST 60TH STREET, New York, NY 10022",623211,COLUMBIA PRESBYTERIAN,623211,850302,,
"140 4TH AVE, New York, NY 10003",630591,PARK SOUTH IMAGING HOLDINGS LP,630591,884052,,
"627 W 165TH ST, New York, NY 10032",636286,NEW YORK & PRESBYTERIAN HOSPITAL,296043,901302,,
"171 E 84TH ST, New York, NY 10028",652745,NOVICK IMAGING ENTERPRISES LLC,652745,866095,,
"307 E 63RD ST, New York, NY 10065",654633,INNER IMAGING LLC,654633,866875,,
"635 MEDICINE AVE, New York, NY 10022",655986,REPRODUCTIVE MEDICINE OF NEW YORK,655986,867422,,
"35 E 85TH ST, New York, NY 10128",658398,MARATHON MEDICAL PC,145729,1427297,,
"534 W 135TH ST FRNT 2, New York, NY 10031",666870,CHARLES RANGEL COMMUNITY HEALTH CENTER,666870,871041,,
"380 2ND AVE RM 303, New York, NY 10010",671485,PAUL J BETSCHART DPM PC,671485,872996,,
"475 E 72ND ST, New York, NY 10021",681088,RICHARD STERN MD,681088,876277,,
"1425 MADISON AVE, New York, NY 10029",682866,MOUNT SINAI HOSPITAL,409033,876848,,
"425 E 61TH ST, New York, NY 10065",685231,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,296043,877410,,
"232 SHERMAN AVE, New York, NY 10034",688284,BIALINES A ESPINOSA MD,688284,878253,,
"7 IRVING PLACE, New York, NY 10003",696678,PHILLIPS AMBULATORY CARE CENTER,696678,880731,,
"530 1ST AVE, New York, NY 10016",698214,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,1-1NFW5,887806,,
"210 CENTRAL PARK S, New York, NY 10019",701973,OLIVIA LEMEND MD,701973,886683,,
"306 W 106TH ST, New York, NY 10025",705819,KEVIN L MARTIN MD,705819,1659397,,
"510 E 70TH ST 4TH FLR RM K415, New York, NY 10021",713855,ARTHRITIS MEDICAL CENTER OF THE CENTRAL COAST,713855,1760378,,
"21 E 69TH ST, New York, NY 10021",727774,CENTER FOR HUMAN REPRODUCTION,727774,893603,,
